seed,pos0_m,INS,EKF,FGO_causal,FGO_smoothed
0,0.0581,637.5549,89.8685,90.0012,10.7501
1,0.0940,661.6712,74.9155,72.9527,7.0731
2,0.1632,591.9032,61.9158,60.5984,16.7007
3,0.1027,272.4786,43.5579,42.2132,22.0739
4,0.0064,368.0050,67.6171,69.0272,13.0347
5,0.0733,412.7620,69.1353,71.1917,17.5696
6,0.2311,414.7034,93.7240,95.7517,16.0125
7,0.1663,569.0041,78.6505,80.3920,14.7279
8,0.1064,907.8671,110.7841,102.2424,5.1450
9,0.1399,320.3344,59.2819,60.6507,24.1083
10,0.1779,232.9783,53.8993,54.3915,17.6619
11,0.0782,623.9767,85.9343,89.3519,21.5402
12,0.0424,1010.1725,1824.9094,1575.1763,1617.8604
13,0.1207,702.6170,86.8804,88.5971,16.3099
14,0.0952,186.1352,43.5573,43.4443,21.5481
15,0.1599,235.3565,72.5958,70.8329,19.8617
16,0.1415,609.8444,77.6243,79.7701,14.7895
17,0.2480,559.1969,78.6243,81.4306,10.1410
18,0.1480,176.6447,53.7391,52.1857,6.5613
19,0.0887,481.1427,53.6685,54.0015,11.4497
20,0.1410,669.0900,61.7651,58.0859,21.9881
21,0.1976,312.0062,49.3604,48.5113,5.4951
22,0.0921,73.9922,45.6447,43.9217,7.9157
23,0.1655,343.1121,63.8148,62.2936,13.1070
24,0.0474,500.0692,78.4755,79.5707,12.3630
25,0.1886,64.0353,47.5595,44.8823,8.0638
26,0.1106,353.4401,65.9083,67.9626,5.9705
27,0.0766,203.4195,61.8622,61.4579,24.1631
28,0.0241,1018.6767,95.4079,90.4859,25.8295
29,0.0928,546.5659,70.9633,71.4590,6.5529
