run,seed,anees_causal,anees_smoothed,n_smoothed,t_s
0,1020,2.0975853853681885,1.8669076639454365,4940,250.80114841461182
1,1021,1.846249098694114,1.1279626101981008,4940,316.3421719074249
2,1022,1.65083780031258,2.3221456993012493,4940,298.52498722076416
3,1023,2.1550497691222454,2.8848836205513693,4940,293.7902042865753
4,1024,2.0767436689917496,1.9988314223359605,4940,294.7580335140228
