seed,pos0_m,INS,EKF,FGO_causal,FGO_smoothed
0,0.0174,195.7530,47.7432,48.6819,10.3405
1,0.0282,223.5200,42.6523,41.4546,9.2063
2,0.0490,203.2694,41.2172,39.0443,11.6148
3,0.0308,107.4489,39.5825,37.6055,13.9775
4,0.0019,83.3506,45.9935,45.8886,11.1327
5,0.0220,102.4769,44.9306,45.0302,11.5672
6,0.0693,116.0180,50.4850,51.4735,10.2432
7,0.0499,160.8165,45.4610,46.7934,9.7729
8,0.0319,297.1595,45.2947,45.4060,7.4396
9,0.0420,95.3447,41.3812,41.6119,14.0821
10,0.0534,60.3938,39.5682,40.4620,12.3493
11,0.0235,170.1947,47.5021,48.6888,13.1321
12,0.0127,318.5235,46.8715,46.1827,8.2138
13,0.0362,212.9125,46.5094,47.8521,12.2216
14,0.0286,78.7249,39.3235,38.5640,13.8246
15,0.0480,96.1792,46.9772,44.5166,11.6500
16,0.0424,179.3625,44.6873,46.2317,10.3537
17,0.0744,157.1260,45.7459,47.3544,9.5770
18,0.0444,79.0887,44.1448,41.5855,8.5496
19,0.0266,166.0863,40.7192,39.6486,10.7153
20,0.0423,226.8790,37.0593,35.8829,13.9352
21,0.0593,115.3569,41.0603,39.2710,7.9712
22,0.0276,43.5428,42.0602,40.1898,8.5642
23,0.0497,112.1739,42.1226,40.7219,7.7394
24,0.0142,122.9294,48.4266,48.3991,10.8326
25,0.0566,36.4285,42.2069,40.7086,8.8314
26,0.0332,80.8295,46.0948,45.9248,8.2884
27,0.0230,74.1023,44.3891,42.9452,13.8206
28,0.0072,331.2897,41.2939,40.8058,15.0981
29,0.0278,190.9195,43.3776,41.7322,7.7349
