seed,pos0_m,INS,EKF,EKF_huber,IEKF,FGO_causal,FGO_smoothed
0,0.1744,1906.8472,278.7880,342.5527,284.0984,236.3996,15.3962
1,0.2821,1914.6802,2218.0093,1876.1850,2096.1008,1685.4496,1726.3862
2,0.4897,1703.2049,1764.1584,1677.6672,1762.5505,1736.6648,1729.4976
3,0.3081,746.0845,110.0272,112.6083,111.2654,104.5003,46.1513
4,0.0192,1181.5192,176.8348,177.1333,178.6131,167.4526,19.3723
5,0.2198,1303.3806,201.9860,204.1178,201.9322,180.1526,41.0535
6,0.6933,1277.8324,255.0333,256.7336,259.5130,236.9877,45.1919
7,0.4989,1742.0992,215.2408,223.0701,215.8912,208.8878,40.9544
8,0.3192,2653.6502,2785.2057,2819.1503,2787.8903,2594.1805,2658.8283
9,0.4196,977.2672,163.3211,156.7211,161.7505,156.1598,55.7038
10,0.5337,742.4713,153.8056,153.8721,153.5171,138.9099,35.2730
11,0.2346,1924.8597,265.7301,358.3590,269.5863,248.8133,48.9809
12,0.1272,2989.4247,3028.5562,2785.7787,2808.8426,1630.1678,1703.1784
13,0.3622,2108.2392,866.0024,547.3937,256.0109,229.3499,27.8437
14,0.2855,501.2223,101.8968,103.1352,100.4733,97.9291,44.4232
15,0.4797,635.6609,202.6188,210.9535,202.5590,184.1516,52.4897
16,0.4244,1847.0935,220.8645,223.5456,219.6213,207.3302,36.9751
17,0.7441,1714.7601,201.0616,201.0797,200.8730,194.0402,22.1266
18,0.4440,457.9777,106.7990,106.5654,106.1177,104.7535,18.3655
19,0.2662,1384.9275,160.7735,160.6993,157.5780,135.5417,13.9056
20,0.4229,1933.1362,2100.4036,2015.6799,2105.5768,2236.0925,2491.0894
21,0.5928,879.5674,135.5165,137.1617,128.5526,116.9486,18.2105
22,0.2763,191.2378,76.4516,76.3627,76.5540,72.6546,21.0266
23,0.4966,1014.9554,440.2941,491.4892,424.3389,1572.2535,1700.8373
24,0.1421,1577.7475,348.5706,370.7424,348.1911,229.1010,18.9018
25,0.5659,192.1574,73.5356,73.4215,72.6997,69.5918,18.8398
26,0.3318,1134.1181,147.2720,147.3099,147.2432,143.6466,16.7704
27,0.2299,591.0334,163.3348,164.5978,162.4518,149.3272,57.2148
28,0.0722,2983.1679,3342.3833,3313.0884,3330.2026,2098.5789,2186.5754
29,0.2784,1562.9259,1539.6293,1493.7820,1558.1222,1645.2516,1702.3745
