seed,pos0_m,INS,EKF,FGO_causal,FGO_smoothed
0,0.1744,1906.8472,278.7880,236.6775,15.3962
1,0.2821,1914.6802,2218.0093,1622.8310,1617.3532
2,0.4897,1703.2049,1764.1584,1697.8028,1655.5658
3,0.3081,746.0845,110.0272,104.9955,46.1502
4,0.0192,1181.5192,176.8348,167.4633,19.3723
5,0.2198,1303.3806,201.9860,180.5968,41.1172
6,0.6933,1277.8324,255.0333,237.1449,45.2103
7,0.4989,1742.0992,215.2408,209.2787,40.9321
8,0.3192,2653.6502,2785.2057,1871.2058,1568.0484
9,0.4196,977.2672,163.3211,153.6636,55.5199
10,0.5337,742.4713,153.8056,138.8942,35.2844
11,0.2346,1924.8597,265.7301,250.8547,49.2224
12,0.1272,2989.4247,3028.5562,1429.1105,1279.4653
13,0.3622,2108.2392,866.0024,229.6548,27.8462
14,0.2855,501.2223,101.8968,98.2984,44.4238
15,0.4797,635.6609,202.6188,184.1967,52.5045
16,0.4244,1847.0935,220.8645,207.6565,36.9965
17,0.7441,1714.7601,201.0616,194.6559,22.1436
18,0.4440,457.9777,106.7990,104.7711,18.3664
19,0.2662,1384.9275,160.7735,135.7530,13.9056
20,0.4229,1933.1362,2100.4036,2189.5112,2581.7879
21,0.5928,879.5674,135.5165,118.2802,18.2105
22,0.2763,191.2378,76.4516,72.6314,21.0266
23,0.4966,1014.9554,440.2941,1427.3546,1409.2749
24,0.1421,1577.7475,348.5706,229.3727,18.9018
25,0.5659,192.1574,73.5356,69.5801,18.8398
26,0.3318,1134.1181,147.2720,143.6469,16.7705
27,0.2299,591.0334,163.3348,149.4553,57.2232
28,0.0722,2983.1679,3342.3833,2119.0824,2205.8817
29,0.2784,1562.9259,1539.6293,1553.9745,1535.9738
