seed,pos0_m,INS,EKF,EKF_huber,IEKF,FGO_causal,FGO_smoothed
0,47.3758,102.7315,47.5340,46.7835,45.9903,45.8066,14.3884
1,70.7209,51.8217,42.7708,42.2679,42.5831,42.9832,31.6694
2,83.7551,115.8317,46.7622,46.2162,46.7282,47.4510,30.0101
3,84.0018,133.4033,51.8552,50.7849,50.3630,50.2748,12.4110
4,136.4217,139.2649,65.1337,64.8794,65.1917,65.5089,31.6627
5,77.7361,85.9935,51.7451,51.0424,50.4854,50.1659,10.4623
6,67.4812,75.0132,48.1850,47.1766,48.0151,47.7573,29.5965
7,102.4496,72.9034,50.7622,49.8247,50.3219,52.0892,34.6215
8,116.4746,188.9090,61.4514,60.7376,60.0361,59.3631,28.6642
9,167.3528,140.5677,66.3664,65.7122,66.3415,67.8927,41.4952
10,192.3876,167.1745,77.4985,76.9072,77.9512,77.0073,48.6191
11,44.9780,86.1758,44.9468,44.3547,45.4716,44.6319,19.0396
12,156.5603,248.1527,68.4285,68.0724,67.6512,68.5559,36.4878
13,189.2078,137.5370,71.1174,70.8758,71.0388,72.8487,50.7141
14,118.4040,123.1796,55.5714,54.8045,55.4353,56.4486,34.8964
15,70.2607,37.6123,45.2825,44.3673,45.2903,45.5449,31.1838
16,160.3349,216.9987,75.5669,75.0397,74.2027,72.9613,25.6571
17,157.0468,121.3474,66.8017,66.0849,65.4301,67.7165,34.4705
18,251.0489,249.2616,95.1686,94.2421,94.9587,92.4518,52.2989
19,66.6577,48.8819,43.0174,42.4223,42.7026,43.7144,29.2873
20,139.4240,226.7590,67.5118,67.4232,67.0418,67.7459,18.1408
21,139.0373,188.8602,67.0943,66.4874,66.6870,67.7133,23.9106
22,128.3700,163.4425,64.2711,64.1481,64.8131,64.4360,13.1618
23,60.6267,110.1458,49.2545,48.7314,47.8865,48.4134,17.4184
24,212.1642,216.8704,89.6143,89.4238,89.3464,89.3044,43.4671
25,155.8062,126.1605,62.5025,61.8878,62.2185,63.6463,45.3245
26,60.5844,52.5890,47.2169,46.7143,47.1203,47.5250,19.3778
27,278.2378,293.0085,104.5658,104.0613,104.3639,102.0588,56.5612
28,225.1459,297.9787,96.3645,95.7688,96.2065,94.6161,42.3440
29,83.6345,50.0716,45.4643,44.8730,45.4114,45.2294,33.6443
