seed,pos0_m,INS,EKF,FGO_causal,FGO_smoothed
0,0.1744,1906.8472,278.7880,343.9252,185.1715
1,0.2821,1914.6802,2218.0093,1882.4928,1796.0360
2,0.4897,1703.2049,1764.1584,1677.6745,1603.1437
3,0.3081,746.0845,110.0272,112.6016,42.0767
4,0.0192,1181.5192,176.8348,177.1621,36.2103
5,0.2198,1303.3806,201.9860,204.1248,58.8955
6,0.6933,1277.8324,255.0333,256.7521,65.3471
7,0.4989,1742.0992,215.2408,223.0603,52.5943
8,0.3192,2653.6502,2785.2057,2819.2000,2782.7067
9,0.4196,977.2672,163.3211,156.7265,53.4655
10,0.5337,742.4713,153.8056,153.8893,39.1518
11,0.2346,1924.8597,265.7301,358.3728,211.6981
12,0.1272,2989.4247,3028.5562,2787.7481,2744.9205
13,0.3622,2108.2392,866.0024,547.2804,429.6663
14,0.2855,501.2223,101.8968,103.1371,40.4471
15,0.4797,635.6609,202.6188,210.9631,86.1073
16,0.4244,1847.0935,220.8645,223.5669,32.9527
17,0.7441,1714.7601,201.0616,201.0807,14.3749
18,0.4440,457.9777,106.7990,106.5715,19.8567
19,0.2662,1384.9275,160.7735,160.7322,6.6066
20,0.4229,1933.1362,2100.4036,2015.6629,2173.4360
21,0.5928,879.5674,135.5165,137.1759,23.9255
22,0.2763,191.2378,76.4516,76.3539,18.5534
23,0.4966,1014.9554,440.2941,491.4997,345.4858
24,0.1421,1577.7475,348.5706,370.7484,211.3709
25,0.5659,192.1574,73.5356,73.4214,16.3042
26,0.3318,1134.1181,147.2720,147.3230,15.7995
27,0.2299,591.0334,163.3348,164.5973,65.4037
28,0.0722,2983.1679,3342.3833,3313.1242,3408.2488
29,0.2784,1562.9259,1539.6293,1493.6552,1450.5207
