seed,pos0_m,INS,EKF,EKF_huber,IEKF,FGO_causal,FGO_smoothed
0,142.1177,183.3042,60.4572,64.4811,60.4991,60.9686,24.6529
1,212.1720,135.2521,70.6127,69.8508,69.9688,71.0540,37.1516
2,251.2753,255.1882,78.9622,77.6401,78.9355,78.2801,33.8833
3,252.0144,296.8039,79.2747,79.6256,77.5407,74.1004,22.0507
4,409.2653,411.9886,123.2644,121.4510,122.7367,118.4116,31.0174
5,233.2101,239.1193,80.1792,80.9344,78.8453,73.6365,20.9065
6,202.4794,201.2868,68.6001,67.1669,69.1359,68.1643,34.1949
7,307.3460,270.8037,97.1610,96.8227,96.7731,96.3975,35.8813
8,349.4357,397.5127,111.1539,109.4761,109.2900,104.4405,32.8385
9,502.0691,472.8471,125.6183,130.2031,127.3431,127.0129,37.9717
10,577.1694,550.3981,155.2013,154.0307,155.5786,149.8182,44.4689
11,134.9481,173.2506,54.4403,53.9922,54.7328,53.8572,26.1441
12,469.6727,548.9095,117.9197,118.1675,120.2908,115.6257,35.5393
13,567.6471,508.5121,187.7097,189.2586,200.9923,163.2522,46.6113
14,355.2040,352.8010,97.8085,96.8797,97.9834,99.2265,34.9605
15,210.7921,164.6755,72.7506,71.9067,72.9825,72.0120,35.9144
16,481.0311,536.0391,150.4303,146.5686,144.7484,140.2126,24.6781
17,471.1448,432.2914,123.4719,132.5117,123.3874,117.7438,32.5736
18,753.1665,747.7283,269.0922,246.2542,280.4581,181.9628,42.3627
19,199.9556,146.7750,66.8283,65.7289,66.9336,68.5693,33.9471
20,418.2772,499.9034,132.8107,131.7029,129.9130,124.1901,21.2601
21,417.1514,463.5835,132.0751,131.9863,129.0532,120.1809,25.0277
22,385.0918,418.6452,127.4617,124.8538,124.1150,117.1652,19.1543
23,181.9091,229.1279,68.6108,67.0941,69.6219,67.4631,26.3228
24,636.5022,640.7027,199.3032,198.5528,195.9672,188.1339,35.5474
25,467.3979,436.0526,144.7748,144.4365,144.8972,138.5730,43.4414
26,181.7434,173.1384,67.8726,69.0664,65.3870,67.4217,26.3528
27,834.7210,847.2484,489.5228,316.6973,310.7960,219.6669,43.7882
28,675.4335,730.6931,222.3658,221.6847,212.1396,211.2067,34.5487
29,250.8933,182.2969,78.0105,76.6284,78.4436,76.6755,38.6146
