seed,pos0_m,INS,EKF,EKF_huber,IEKF,FGO_causal,FGO_smoothed
0,947.4241,974.6551,3262.4205,252.8140,100.3230,185.4788,29.8713
1,1414.5069,1326.2372,483.3639,487.4239,424.1405,354.9043,33.5795
2,1675.1964,1664.4982,1967.4220,2941.2333,2362.9790,736.9303,32.4731
3,1680.1215,1719.4306,658.6436,1508.0154,1363.0384,204.4980,29.2613
4,2728.4355,2730.3895,3638.1890,5131.6989,6706.1134,6134.7705,6581.8374
5,1554.7397,1556.5733,2493.2716,1312.6009,107.9241,1779.2016,1249.5271
6,1349.9649,1341.5677,410.7967,351.7539,4824.1164,240.6482,31.0920
7,2048.9653,2009.1480,2660.8678,1439.0780,1926.3840,765.8871,30.7594
8,2329.6050,2361.8636,6030.6172,2055.5696,6680.4315,6663.6072,7102.7066
9,3347.1575,3317.1337,2790.7351,1908.2593,2713.0275,3132.5488,2682.8880
10,3847.8151,3812.4358,11298.3595,3445.1451,6573.1000,8443.2780,8650.9406
11,899.6937,935.7957,263.3249,377.0868,3617.6185,348.6178,28.3568
12,3131.1277,3202.2832,2987.3411,2880.1795,2765.0946,782.4830,33.1228
13,3784.3813,3719.2261,3233.6962,3476.8802,3587.2318,1181.0525,32.5003
14,2368.0035,2362.4695,2562.6786,3042.4392,2732.7611,2983.8993,2676.6553
15,1405.3092,1353.4122,408.0545,1450.2643,703.0130,363.1833,32.1891
16,3206.9484,3260.6330,5895.3804,5270.9700,5832.8005,5878.1845,6307.6399
17,3140.9780,3099.6399,4110.7245,4186.1151,4232.6279,4083.3272,4097.1115
18,5021.1656,5013.7934,3977.7854,3806.3099,3954.0420,3743.0095,2945.5440
19,1332.9877,1271.6851,959.6905,940.7704,2301.1230,515.9102,32.0709
20,2788.5294,2860.4520,4896.5772,2119.8904,4909.5527,2044.3593,1825.7358
21,2781.1216,2821.3874,5000.1856,4778.5757,5037.1305,5288.3127,5585.0147
22,2567.2270,2593.7810,1887.0506,2049.5807,4150.5181,1556.1526,1172.4266
23,1212.8097,1256.6972,4973.3560,4747.2286,2269.7336,811.6349,30.5192
24,4243.3745,4246.0680,8518.9175,5643.3838,6482.2394,7922.8969,8407.5750
25,3115.9274,3079.5196,1697.2252,2386.2522,3607.2507,1024.8365,32.7790
26,1211.5950,1201.6153,2194.9962,1903.8701,2305.5138,556.9161,29.2847
27,5564.8278,5576.0001,5503.2197,5708.9497,4524.6781,4391.7538,4062.1082
28,4502.8779,4548.6669,7361.3600,8129.8562,6746.5716,6825.8779,7114.5264
29,1672.5934,1593.6571,337.5254,455.2089,5349.5289,643.6133,33.9366
