seed,pos0_m,INS,EKF,EKF_huber,IEKF,FGO_causal,FGO_smoothed
0,236.8597,272.9307,78.7386,80.7093,79.0062,72.6433,27.4177
1,353.6232,271.5255,123.4333,120.8427,121.1292,116.9824,36.1587
2,418.7954,415.8697,98.7143,102.8273,100.4724,111.3574,33.4452
3,420.0270,463.2841,167.3268,154.9658,159.6434,98.7048,25.5515
4,682.1089,684.7369,186.4458,182.1579,179.1095,173.0487,30.1034
5,388.6842,393.7953,125.6654,115.2366,92.0899,94.4082,24.2409
6,337.4777,334.1172,112.7977,107.5301,107.6071,108.0628,33.2016
7,512.2424,474.5500,146.6846,152.0196,144.8540,142.9402,33.6259
8,582.3968,623.5731,170.1114,169.6742,156.1323,148.8341,33.4436
9,836.7854,807.1497,364.2810,433.9408,474.1113,254.9613,34.3615
10,961.9513,934.0903,240.5214,242.0628,229.3979,213.6153,39.7011
11,224.9182,262.2892,71.6937,68.7164,71.8829,72.7727,27.3965
12,782.7850,858.5322,245.4459,250.0470,265.6569,177.8694,33.3404
13,946.0864,885.4354,445.4759,440.3529,451.4614,312.2007,40.9846
14,592.0039,588.1387,156.6488,163.9744,165.1549,157.4699,32.7095
15,351.3236,303.4901,122.5645,119.0622,118.6811,117.1767,34.7591
16,801.7272,856.2805,198.9114,201.8395,192.4672,197.6018,26.0673
17,785.2428,745.7339,1706.4396,607.5791,598.0796,198.8882,30.6560
18,1255.2840,1249.0828,812.5356,731.7642,769.8899,496.3548,37.6940
19,333.2535,276.0155,112.0508,116.5423,112.0713,116.2313,33.4954
20,697.1304,776.5734,216.0041,195.8356,211.5799,197.4942,24.6218
21,695.2656,740.4394,153.5431,226.3147,156.6873,156.0727,26.6729
22,641.8136,674.4107,252.2101,231.2815,334.6249,182.5036,23.2608
23,303.1915,349.5480,91.1778,95.5702,93.1200,92.2767,28.4363
24,1060.8401,1064.8105,333.3090,361.4286,323.9991,558.6551,31.9852
25,778.9896,746.9022,373.2544,386.0052,376.7520,275.5581,39.1260
26,302.9024,294.0727,90.3044,90.5361,89.5233,92.3887,27.9635
27,1391.2041,1403.2299,868.9133,857.0700,903.6531,540.8189,38.0296
28,1125.7211,1176.6711,1508.0248,530.6782,508.5009,616.1622,32.4120
29,418.1522,345.7882,128.0663,126.5011,127.1896,122.9258,37.1560
