seed,pos0_m,INS,EKF,EKF_huber,IEKF,FGO_causal,FGO_smoothed
0,473.7145,504.7633,156.1317,88.0654,61.1056,123.9305,29.0958
1,707.2511,621.7268,394.2496,396.4977,376.5686,289.6304,34.6106
2,837.5957,829.4880,846.9687,906.7285,899.9154,326.2149,32.8727
3,840.0585,881.5024,1317.6417,1367.7867,269.0857,1897.9622,1959.1498
4,1364.2177,1366.6187,451.3200,502.8797,458.3735,635.8844,29.5188
5,777.3694,781.2256,1460.9495,1381.2246,174.0313,278.0725,26.8465
6,674.9734,669.2750,175.5818,174.8481,184.5891,170.3270,31.9071
7,1024.4834,985.7331,887.5153,581.0937,652.8055,376.0128,31.7915
8,1164.7995,1200.2446,463.6443,452.1459,433.3588,632.6344,33.6108
9,1673.5761,1643.6580,2216.6702,1842.5315,2264.6328,609.8081,31.1320
10,1923.9059,1893.5015,1895.2543,1205.8225,2355.2451,834.5873,34.9166
11,449.8433,486.3932,125.9550,123.7096,127.5488,116.3592,28.0936
12,1565.5659,1638.3691,1060.7843,1574.9869,2260.2661,847.7284,33.0556
13,1892.1847,1829.6585,2244.6245,2227.8061,1036.8176,558.1821,35.1207
14,1184.0038,1179.0378,891.6546,855.1922,941.8115,453.1650,31.4209
15,702.6521,653.0301,337.8430,289.7713,383.0228,279.5004,33.1425
16,1603.4676,1657.5702,3113.8197,2176.7360,2141.3042,761.5851,27.7439
17,1570.4879,1530.1984,4982.9821,891.2305,2212.1798,563.9103,29.3180
18,2510.5779,2503.7199,1019.5103,882.9793,910.2740,5436.9931,5607.3147
19,666.4982,606.6708,405.9847,447.6833,622.1798,289.2954,32.6529
20,1394.2634,1470.6103,1727.4933,1030.4254,648.1993,437.5544,28.0724
21,1390.5509,1433.8019,638.3246,1707.7256,2054.4330,428.3833,28.8569
22,1283.6180,1314.1303,2472.9180,677.8769,2181.8804,1978.2554,1953.6618
23,606.3976,651.6559,116.8661,116.6088,104.4391,105.4990,29.8236
24,2121.6849,2125.2032,1830.7597,2311.7536,2666.1908,757.8206,29.9052
25,1557.9689,1524.3715,1107.4491,1575.7742,1033.8867,487.6076,35.0367
26,605.8000,596.5564,124.8372,139.3723,348.3887,102.8307,28.8899
27,2782.4120,2793.9804,923.3539,927.9261,2247.0654,780.8227,32.4890
28,2251.4400,2298.9819,3595.2584,3898.4107,4551.1440,1044.4598,31.9960
29,836.2992,760.7344,286.0518,284.6218,348.3213,205.0071,35.2213
