seed,pos0_m,INS,EKF,EKF_huber,IEKF,FGO_causal,FGO_smoothed
0,1421.1338,1446.1056,475.5941,533.4416,1085.9323,1966.8337,1989.7270
1,2121.7627,2031.4770,2338.6746,1784.8963,5007.2172,636.2077,33.2113
2,2512.7971,2501.2242,3634.7144,2816.2312,3327.8172,4030.6990,4062.5815
3,2520.1844,2557.7186,2599.5788,3716.9283,3897.3122,1460.0171,1166.6105
4,4092.6533,4094.1619,7167.5599,6506.9255,8434.0876,7921.4651,8412.5305
5,2332.1101,2332.0307,4055.7343,1846.4689,2056.6764,1629.0293,1261.5623
6,2024.9563,2014.2971,7993.0214,5821.9440,9821.5418,891.4888,30.8004
7,3073.4472,3032.7817,3306.8327,3654.9537,3557.4325,1143.2112,30.4012
8,3494.4104,3525.4286,8406.2387,6147.6509,7974.3387,7903.8634,8407.7578
9,5020.7389,4990.7084,4129.8516,4662.3022,4209.6777,4920.9991,4936.8061
10,5771.7243,5731.3944,9497.1263,7515.3392,10706.5261,11310.3346,11970.8742
11,1349.5441,1385.4994,1508.4375,1529.1700,8992.3307,8648.0579,8960.4579
12,4696.6895,4767.2142,4186.0352,4881.6878,6306.1629,4916.3691,4943.5396
13,5676.5779,5609.0297,3776.9955,4595.7997,5088.8795,3215.3970,2789.6645
14,3552.0033,3546.2621,3418.4622,3482.1312,3316.1184,1275.0798,30.5716
15,2107.9663,2054.0505,577.1897,2215.1262,3539.8004,478.5847,31.8430
16,4810.4292,4863.8093,5936.2656,5738.1151,5927.2724,10447.7909,11047.3885
17,4711.4682,4669.1907,5432.9446,4893.1648,5399.1846,4368.7365,4055.0535
18,7531.7533,7524.0438,5784.0298,3866.4221,4908.0468,5629.8547,5540.8689
19,1999.4772,1937.4006,2690.8111,2727.5076,2739.4074,3008.4693,2681.1528
20,4182.7954,4250.7240,4639.1274,5296.7316,4808.5317,2778.9262,1823.8921
21,4171.6923,4209.1748,5170.4469,4132.5498,4260.2996,3045.1919,2237.3150
22,3850.8359,3873.4808,6516.0241,2848.5593,4518.3527,2779.8486,1823.6083
23,1819.2219,1861.9451,4156.9725,917.7301,2352.3773,6021.8576,6246.6935
24,6365.0641,6366.9506,8779.6300,8028.8361,7256.0968,11967.2533,12646.3635
25,4673.8859,4634.7129,4019.3307,3334.2405,3237.7762,1100.4800,32.0427
26,1817.3901,1806.6940,3642.3426,2909.3531,4977.6888,2985.4181,2677.5307
27,8347.2436,8358.1359,6846.5794,6726.8579,6785.8709,6523.3455,6266.8657
28,6754.3158,6799.5191,10568.2607,8689.0901,12381.3966,11417.7825,11932.7410
29,2508.8876,2427.1543,6188.8484,4957.5176,6905.6304,8378.2459,8568.1644
