seed,pos0_m,INS,EKF,EKF_huber,FGO_causal,FGO_smoothed
0,0.0058,75.6436,42.5838,41.8497,42.5838,10.4867
1,0.0094,99.0765,41.7964,40.5597,41.7964,10.3848
2,0.0163,92.7953,41.3000,40.0436,41.3000,11.0223
3,0.0103,61.1534,40.1407,39.1061,40.1407,11.6795
4,0.0006,4.5929,41.8839,41.4077,41.8839,10.7980
5,0.0073,23.3644,41.3985,40.9737,41.3985,11.0927
6,0.0231,42.0476,43.9053,43.1761,43.9053,10.1479
7,0.0166,52.4049,42.4780,41.6932,42.4780,10.5525
8,0.0106,123.3219,41.5373,40.3327,41.5373,9.8534
9,0.0140,43.3264,40.7835,39.9641,40.7835,11.7356
10,0.0178,30.4201,40.2074,39.2520,40.2074,11.3808
11,0.0078,46.9354,41.8637,41.3846,41.8637,11.3827
12,0.0042,123.4465,39.7746,38.7735,39.7746,10.0541
13,0.0121,78.9686,42.3302,41.6040,42.3302,10.9869
14,0.0095,50.7864,40.0549,39.1141,40.0549,11.5811
15,0.0160,57.4009,42.6295,41.6247,42.6295,10.5777
16,0.0141,63.8323,42.1616,41.3818,42.1616,10.6544
17,0.0248,50.5918,42.7475,41.9813,42.7475,10.5038
18,0.0148,51.9830,42.0072,40.9077,42.0072,10.2381
19,0.0089,78.2355,41.7369,40.5556,41.7369,10.8577
20,0.0141,100.9082,40.0537,38.7199,40.0537,11.8766
21,0.0198,61.9254,41.4450,40.1131,41.4450,10.3356
22,0.0092,39.6127,41.1260,40.0783,41.1260,10.3911
23,0.0166,54.2415,41.0265,39.6978,41.0265,10.2149
24,0.0047,15.6403,42.2493,41.7068,42.2493,10.6881
25,0.0189,36.9406,41.1987,40.2037,41.1987,10.4033
26,0.0111,11.9969,42.4540,41.8039,42.4540,10.2503
27,0.0077,45.6521,41.4747,40.5685,41.4747,11.2839
28,0.0024,135.2825,40.4808,39.2729,40.4808,11.9726
29,0.0093,89.4388,41.9114,40.6811,41.9114,10.0077
