seed,pos0_m,INS,EKF,EKF_huber,IEKF,FGO_causal,FGO_smoothed
0,473.7145,504.7633,156.1317,88.0654,61.1056,91.2414,29.1109
1,707.2511,621.7268,394.2496,396.4977,376.5686,235.8635,34.6188
2,837.5957,829.4880,846.9687,906.7285,899.9154,316.0536,32.8828
3,840.0585,881.5024,1317.6417,1367.7867,269.0857,155.6529,28.0554
4,1364.2177,1366.6187,451.3200,502.8797,458.3735,531.1733,29.5258
5,777.3694,781.2256,1460.9495,1381.2246,174.0313,163.8409,26.8465
6,674.9734,669.2750,175.5818,174.8481,184.5891,212.1694,31.9129
7,1024.4834,985.7331,887.5153,581.0937,652.8055,339.8303,31.8065
8,1164.7995,1200.2446,463.6443,452.1459,433.3588,520.1570,33.6235
9,1673.5761,1643.6580,2216.6702,1842.5315,2264.6328,511.4665,31.1320
10,1923.9059,1893.5015,1895.2543,1205.8225,2355.2451,6364.4542,6509.9043
11,449.8433,486.3932,125.9550,123.7096,127.5488,117.3953,28.1094
