t,true_lat,true_lon,ins_lat,ins_lon,ekf_lat,ekf_lon,nn_lat,nn_lon
0.0,0.7868550403386362,-1.3338157914851405,0.7868550403386362,-1.3338157914851405,0.786855040065363,-1.333815790808714,0.7868550403385087,-1.333815791484825
0.1,0.7868560700828949,-1.3338162627240386,0.7868561403386362,-1.3338162914851404,0.7868561395716828,-1.3338162896076546,0.7868561403382961,-1.333816291484314
0.2,0.7868571015724829,-1.3338167322176073,0.7868571403386362,-1.3338167914851404,0.7868571381782014,-1.3338167862599823,0.7868571403375706,-1.333816791482582
0.30000000000000004,0.7868581330620708,-1.3338172034565055,0.7868581403386362,-1.3338171914851404,0.7868581353702645,-1.3338171796046994,0.7868581403363061,-1.3338171914796026
0.4,0.7868591645516587,-1.3338176729500741,0.7868592403386362,-1.3338176914851405,0.7868592307542841,-1.3338176688276862,0.7868592403346166,-1.3338176914756807
0.5,0.7868601960412467,-1.333818142443643,0.7868602403386362,-1.3338181914851404,0.7868602240386408,-1.3338181533693119,0.7868602403336523,-1.3338181914734077
0.6000000000000001,0.7868612292761639,-1.3338186119372117,0.7868612403386362,-1.3338185914851404,0.7868612150007589,-1.3338185328640149,0.7868612403352833,-1.3338185914768161
0.7000000000000001,0.7868622607657517,-1.3338190796854514,0.7868623403386362,-1.3338190914851404,0.7868623034702844,-1.3338190071083047,0.7868623403399361,-1.3338190914865866
0.8,0.786863294000669,-1.3338195456883617,0.7868633403386363,-1.3338195914851405,0.7868632893364175,-1.333819475988118,0.7868633403459268,-1.3338195914989817
0.9,0.7868643272355861,-1.333820011691272,0.7868643403386362,-1.3338199914851403,0.7868642725049526,-1.3338198394627234,0.7868643403472518,-1.3338199915015747
1.0,0.786865358725174,-1.3338204776941822,0.7868654403386363,-1.3338204914851404,0.7868653529018821,-1.333820297583842,0.786865440332273,-1.3338204914713785
1.1,0.7868663937054206,-1.3338209436970925,0.7868664403386362,-1.3338209914851404,0.7868663305071695,-1.3338207504214459,0.7868664402895346,-1.3338209913869945
1.2000000000000002,0.7868674269403376,-1.3338214097000027,0.7868674403386362,-1.3338213914851405,0.7868673052961512,-1.3338210980866252,0.7868674402067819,-1.333821391226681
1.3,0.7868684601752549,-1.333821875702913,0.7868685403386362,-1.3338218914851403,0.78686837725558,-1.3338215407716827,0.7868685400653351,-1.333821890958367
1.4000000000000001,0.7868694916648429,-1.3338223417058233,0.7868695403386362,-1.3338223914851404,0.786869346424516,-1.3338219786354841,0.7868695398506768,-1.3338223905585473
1.5,0.78687052489976,-1.3338228077087335,0.7868705403386362,-1.3338227914851404,0.7868703128310867,-1.3338223118750754,0.786870539558014,-1.3338227900232769
1.6,0.7868715581346771,-1.333823273711644,0.7868715403386362,-1.3338232914851404,0.7868712765664796,-1.3338227407623306,0.7868715391909149,-1.333823289363437
1.7000000000000002,0.7868725913695944,-1.3338237414598835,0.7868726403386362,-1.3338237914851403,0.7868723377112451,-1.3338231656303663,0.7868726387734477,-1.3338237886273991
1.8,0.7868736228591822,-1.333824209208123,0.7868736403386362,-1.3338241914851403,0.7868732963971808,-1.333823486725043,0.7868736383626423,-1.3338241879149688
1.9000000000000001,0.7868746543487701,-1.3338246769563626,0.7868746403386362,-1.3338246914851404,0.7868742527902338,-1.333823904402948,0.7868746380239036,-1.3338246873363695
2.0,0.7868756858383581,-1.3338251447046021,0.7868757403386362,-1.3338251914851404,0.7868753070514294,-1.3338243190724965,0.7868757377861384,-1.3338251869352444
2.1,0.7868767190732754,-1.3338256141981708,0.7868767403386362,-1.3338255914851405,0.7868762593690668,-1.333824630987724,0.786876737616108,-1.3338255866473978
2.2,0.7868777505628631,-1.3338260819464103,0.7868777403386362,-1.3338260914851403,0.7868772099868616,-1.3338250405270062,0.7868777374703,-1.3338260863976876
2.3000000000000003,0.7868787820524511,-1.3338265496946498,0.7868788403386362,-1.3338265914851404,0.7868782591159786,-1.333825448074988,0.7868788373298956,-1.3338265861556617
2.4000000000000004,0.7868798152873684,-1.3338270174428895,0.7868798403386362,-1.3338269914851404,0.7868792068813537,-1.3338257537578762,0.7868798371887775,-1.3338269859125385
2.5,0.7868808467769564,-1.333827485191129,0.7868808403386363,-1.3338274914851405,0.7868801532966978,-1.333826157797728,0.7868808370428486,-1.3338274856643066
2.6,0.7868818800118734,-1.3338279511940394,0.7868819403386362,-1.3338279914851403,0.786881198218769,-1.3338265604392467,0.7868819368873309,-1.3338279854078285
