t,n_err,e_err,n_std,e_std
0.0,1.4718107462438295,0.15984184799734702,1.2179452384570921,1.172660220256994
0.1,1.4717185160717596,0.1599077846377418,1.2175312363840216,1.1722545132957058
0.2,1.4716209681976296,0.15996911420091336,1.2171176425443375,1.1718491402011535
0.3,1.471528238672799,0.1600374553386835,1.216704452349339,1.1714440952648089
0.4,1.4714377158149654,0.16011233004978564,1.216291659852658,1.1710393715984808
0.5,1.4713591540660829,0.16018601988904246,1.2158792588614626,1.170634962650826
0.6,1.471271455686209,0.16024874323964947,1.215467243506222,1.1702308622748532
0.7000000000000001,1.471177789876112,0.16032114236757208,1.215055608184364,1.1698270643011823
0.8,1.4710692065526174,0.16038646922031238,1.214644346978332,1.1694235620761966
0.8999999999999999,1.4709767401901628,0.16045417039303078,1.214233454025127,1.1690203486996062
1.0,1.4708817798926965,0.16053257045948524,1.213822923416554,1.1686174175843147
1.1,1.4707963144308673,0.1606124318209532,1.213412748802777,1.168214762152053
1.2,1.4707159623920578,0.16069264740253902,1.2130029238840006,1.1678123758268553
1.3,1.4706382092696466,0.16077637543116166,1.2125934426076033,1.167410252150586
1.4000000000000001,1.470564376509616,0.16086163177274931,1.212184298925232,1.167008384655641
1.5,1.470486952511149,0.160941076880089,1.211775487000901,1.16660676690211
1.6,1.4704091036375562,0.16102755170788252,1.2113670013757676,1.1662053923019045
1.7,1.4703315519672648,0.16111900412327287,1.2109588362404498,1.1658042541976446
1.7999999999999998,1.4702521383584626,0.16118986711625405,1.2105509857194154,1.1654033459615347
1.9000000000000001,1.4701722927817056,0.16127079507182873,1.2101434444906431,1.165002660934511
2.0,1.4700896362088847,0.16135240425893635,1.2097362069673145,1.1646021925594428
2.1,1.4699943539075533,0.16143724689119326,1.2093292669419085,1.16420193413036
2.2,1.4699061008782108,0.16150448920806493,1.20892261825179,1.1638018787542674
2.3,1.469808577869731,0.16157988035752918,1.2085162551736806,1.163402019798201
2.4,1.4697091305041452,0.1616601800865454,1.2081101718427476,1.16300235043951
2.5,1.4696220237293862,0.16174626549100005,1.207704362029473,1.1626028637614696
2.6,1.4695352567174054,0.16183269409944656,1.2072988195387653,1.1622035534742903
2.6999999999999997,1.4694370761898201,0.1619227292112252,1.2068935380215031,1.1618044135041803
2.8000000000000003,1.469330338541091,0.16199095746278264,1.2064885110960542,1.1614054374245015
2.9,1.4692201146336403,0.16205392832923987,1.2060837328505623,1.1610066185491779
3.0,1.4691133862128187,0.16210707934583765,1.2056791975250403,1.1606079502366018
3.1,1.4690056597953987,0.16215485390246917,1.2052748995973575,1.1602094260831315
3.2,1.468891736843408,0.16222091931999125,1.2048708337333216,1.1598110395141579
3.3,1.4687921597039026,0.16229378051663376,1.2044669941281356,1.159412783590375
3.4,1.4687066304662744,0.1623729154650552,1.2040633748167142,1.15901465165015
3.5,1.4686303783067531,0.1624550628519005,1.2036599697810275,1.1586166374072369
3.5999999999999996,1.4685601545823779,0.16252527412079978,1.2032567730157357,1.158218734655103
3.7,1.468488442018599,0.16259685563155815,1.2028537789909057,1.1578209372624388
3.8000000000000003,1.4684088773894737,0.1626787563500947,1.2024509822045473,1.1574232388794305
3.9000000000000004,1.4683351298211091,0.16276588676196166,1.2020483765100127,1.157025632779856
4.0,1.4682703990139228,0.16283704254509426,1.201645955579247,1.1566281125322533
4.1,1.4681946455230197,0.16290371191424532,1.2012437134689198,1.1562306720290545
4.2,1.468120172342029,0.16295561368326247,1.2008416445127232,1.1558333048520901
4.3,1.4680465687801458,0.1630081685546212,1.2004397432985292,1.1554360047269894
4.4,1.4679589095226804,0.163058020139161,1.200038004627282,1.1550387656782348
4.5,1.4678643366188444,0.1631199001524042,1.1996364235055408,1.1546415814457902
4.6,1.4677685990316052,0.163197259051967,1.1992349948717567,1.154244445495785
4.7,1.4676850367663228,0.1632854133365815,1.1988337134028555,1.1538473514830963
4.8,1.4676011780139315,0.16338294987711618,1.1984325737026893,1.1534502933389643
4.9,1.4675303315699855,0.16348292785572202,1.1980315704389202,1.153053265040344
5.0,1.4674614172929858,0.16359041391040405,1.1976306985555525,1.1526562608788984
5.1000000000000005,1.4673866398591673,0.16371345508242413,1.1972299530240307,1.152259275309024
5.2,1.467306551112361,0.16384528457303382,1.1968293284111313,1.1518623024538246
5.3,1.4672316410475266,0.16397474798100378,1.1964288191814774,1.1514653362087448
5.3999999999999995,1.4671634885901108,0.16410704096884043,1.196028420050893,1.1510683705347038
5.5,1.4671020873563057,0.16424196651940962,1.1956281257927341,1.1506713994627096
5.6000000000000005,1.467045077469687,0.16438432227784197,1.1952279309325962,1.1502744170565136
5.7,1.4669835897104102,0.164522559722503,1.1948278296082264,1.1498774171982018
5.8,1.4669294092743446,0.16465102706643983,1.1944278158914967,1.1494803934079207
5.8999999999999995,1.4668796613255937,0.16477351578520746,1.19402788408141,1.1490833392577466
6.0,1.4668291146985029,0.1648961627000745,1.193628028529177,1.1486862485193894
6.1000000000000005,1.4667710891059649,0.16502225126768044,1.1932282433064507,1.1482891147184684
6.2,1.466720827632813,0.16514220114664183,1.1928285221495614,1.1478919310536408
6.3,1.4666743226741863,0.16525320390813833,1.1924288588731382,1.1474946909589248
6.4,1.466621674382254,0.16536144640255518,1.1920292473816436,1.1470973879454487
6.5,1.466575624812501,0.16545691916064875,1.1916296814437282,1.1467000152664113
6.6,1.4665287928790187,0.1655428896058558,1.1912301551522562,1.1463025662290285
6.7,1.4664889675213413,0.1656351120282529,1.1908306628573597,1.145905034208748
6.8,1.4664548592128284,0.16572371297522961,1.1904311985999552,1.1455074127255824
6.9,1.4664250074830154,0.16580431776901372,1.1900317566442562,1.1451096954495443
7.0,1.4664050130481598,0.16589408898564031,1.189632331609344,1.1447118761274508
7.1,1.4663911470625703,0.16597789333590657,1.1892329180220014,1.144313948791136
7.199999999999999,1.4663765965983084,0.1660678946772595,1.1888335104684122,1.143915907663166
7.300000000000001,1.46635860882119,0.16615476557416578,1.188434103283381,1.1435177469400177
7.4,1.4663309382519145,0.16622620707125904,1.188034690838898,1.1431194607019843
7.5,1.4662952595729037,0.1663050797386377,1.187635267818788,1.1427210426976038
7.6000000000000005,1.4662631849073173,0.1663755260592913,1.1872358287050335,1.142322486360007
7.699999999999999,1.46624224429592,0.16644884982462774,1.1868363679402647,1.141923785518651
7.800000000000001,1.4662076281838483,0.16651419827313887,1.1864368799435574,1.1415249344315974
7.8999999999999995,1.4661752180343053,0.16656719764904213,1.1860373591986597,1.1411259271221843
8.0,1.4661385867845862,0.16660648767330904,1.1856378007397588,1.1407267576554168
8.100000000000001,1.4660974336871606,0.16665244369550478,1.1852382001323287,1.1403274199978894
8.2,1.4660717549152595,0.16671476237491925,1.1848385525966678,1.1399279076507838
8.3,1.46607346475763,0.1667725572243381,1.1844388527717316,1.1395282145699277
8.4,1.466073610577111,0.16683118114051781,1.1840390952877604,1.139128335471721
8.5,1.4660703063171334,0.16687690175203473,1.1836392749078695,1.1387282647388166
8.6,1.4660737830726884,0.16692341938828406,1.1832393868064226,1.1383279962851256
8.7,1.466081070960648,0.16698559765752616,1.182839426048878,1.137927524030631
8.8,1.4661029089421347,0.16704556146003163,1.1824393870180792,1.1375268420107922
8.9,1.4661271451094506,0.16710024623831335,1.1820392642157282,1.1371259446160276
9.0,1.4661483872842025,0.16715888462555129,1.181639052543411,1.136724826154896
9.1,1.466179333543058,0.16722156064980398,1.1812387468025045,1.136323480776244
9.2,1.4662025653481192,0.1672866420276244,1.18083834153739,1.1359219028972731
9.3,1.4662223995632235,0.16734408792278085,1.1804378313589117,1.1355200867439939
9.4,1.4662447312679687,0.16740760783625888,1.1800372110191737,1.1351180263642713
9.5,1.466262778744839,0.16746516254773622,1.1796364750794923,1.1347157158637793
9.6,1.4662869390670252,0.16752028469273042,1.1792356180936263,1.1343131493155187
9.7,1.4663047226955934,0.16757446454051908,1.178834634754371,1.1339103210166293
9.8,1.4663101700040801,0.1676325680104745,1.1784335195200608,1.1335072248617282
9.9,1.4663350368226173,0.16768035538640416,1.1780322666033647,1.1331038542770877
10.0,1.4663629380791572,0.16772169037003531,1.1776308703588274,1.1327002032351603
10.1,1.4663921182303274,0.16775380939596413,1.177229325425424,1.132296265763833
10.200000000000001,1.4664361442574263,0.16778883679582166,1.1768276265806554,1.131892035809226
10.299999999999999,1.466474480913182,0.16782083841047304,1.1764257686388078,1.1314875076552895
10.4,1.466522502501911,0.16785762277291605,1.176023746513094,1.1310826753545966
10.5,1.4665884285131023,0.16789221950812297,1.1756215552012332,1.1306775331047678
10.6,1.466659104074963,0.16792759720150913,1.1752191898234425,1.1302720757202518
10.700000000000001,1.466732475024445,0.16796057120952415,1.1748166457547973,1.1298662981945953
10.799999999999999,1.4667986202363938,0.16800343102191595,1.1744139185195046,1.1294601953734071
10.9,1.4668672444964423,0.16805427528541214,1.1740110032972446,1.129053761915357
11.0,1.466930231874591,0.1681016716717878,1.173607894966039,1.1286469925064873
11.1,1.4669874298692445,0.16815329675773974,1.1732045885352358,1.1282398816090062
11.200000000000001,1.4670485503589914,0.1682105728540338,1.1728010789490642,1.1278324233593517
11.299999999999999,1.4671128946730783,0.16827384705318832,1.1723973609621834,1.1274246118831885
11.4,1.467186696940871,0.1683435584687607,1.1719934292521268,1.1270164414705819
11.5,1.4672575264971517,0.16841753566160056,1.1715892784311073,1.126607906613681
11.6,1.467330034999766,0.16849079257814412,1.171184903334197,1.1261990018204178
11.700000000000001,1.4673987550840697,0.16857555284563389,1.1707802990586962,1.1257897217382338
