flight,line,mag,sigma_beta,meas_std_nT,MPF_TL
Flt1003,1003.02,Mag 4,700.0,40.0,57.8
Flt1003,1003.02,Mag 5,700.0,40.0,318.7
Flt1003,1003.08,Mag 4,700.0,40.0,74.2
Flt1003,1003.08,Mag 5,700.0,40.0,84.6
