flight,line,mag,method,DRMS
Flt1003,1003.08,Mag 4,MPF+TL fixed,Inf
Flt1003,1003.08,Mag 4,MPF+TL+NN fixed,347.1
Flt1003,1003.08,Mag 4,FGO,27.8
Flt1003,1003.08,Mag 5,MPF+TL fixed,151.5
Flt1003,1003.08,Mag 5,MPF+TL+NN fixed,4196.6
Flt1003,1003.08,Mag 5,FGO,13.3
Flt1007,1007.06,Mag 4,MPF+TL fixed,3306.2
Flt1007,1007.06,Mag 4,MPF+TL+NN fixed,1445.7
Flt1007,1007.06,Mag 4,FGO,30.9
Flt1007,1007.06,Mag 5,MPF+TL fixed,179.5
Flt1007,1007.06,Mag 5,MPF+TL+NN fixed,81.4
Flt1007,1007.06,Mag 5,FGO,13.5
