t,nees_ekf,nees_mpf,nees_fgo
0.0,1.2222632424657203,1.3021467159644342,1.478900895149545
0.1,1.2501914536927299,1.3405281810598877,1.4797392478707891
0.2,1.2789253612991953,1.3759603436027632,1.4805657874768623
0.3,1.2950133273612938,1.3952556918764216,1.4814033615148434
0.4,1.308643336445997,1.4115013786866986,1.4822466991256646
0.5,1.2892558260873985,1.387884845365511,1.4831134392506915
0.6,1.2906115801075595,1.3895374487362293,1.4839593272208103
0.7000000000000001,1.2897107652195667,1.3883363591175168,1.484795485595089
0.8,1.284778273187593,1.3811740039789355,1.4856001365456333
0.8999999999999999,1.2847954578249439,1.380896596965628,1.4864373777362434
1.0,1.2861061987360927,1.3816488860770395,1.487272081155829
1.1,1.2841746195510333,1.3801362407133368,1.4881260382616401
1.2,1.2888103516403444,1.384539461210214,1.488990279845827
1.3,1.2901152243600382,1.3858913309568226,1.489860554171769
1.4000000000000001,1.2904068355224836,1.3862499216785182,1.4907390639510782
1.5,1.2895772433136208,1.3854537718662072,1.4916090579552952
1.6,1.2922233572935236,1.3882859094872675,1.492479916550754
1.7,1.2877043855388877,1.383571521914117,1.4933526190116817
1.7999999999999998,1.292399838064347,1.3886268762726868,1.4942167827425474
1.9000000000000001,1.2945000542682115,1.390934168751435,1.495082551817073
2.0,1.298647872877755,1.3954490382407922,1.4959429337000696
2.1,1.3086926407548434,1.4063284934602625,1.4967788105421456
2.2,1.3258797398642814,1.4249465970720168,1.497624720459659
2.3,1.316050981428357,1.4143719401047887,1.4984540300362337
2.4,1.3049127411651473,1.4023635554513199,1.4992807449681131
2.5,1.3209513785659324,1.4198247228873715,1.50013383336636
2.6,1.2840858295849467,1.3798269483794021,1.5009878577209708
2.6999999999999997,1.2910201683898783,1.387425989090847,1.5018199036896567
2.8000000000000003,1.3029603305548392,1.4004748513097791,1.5026296101104628
2.9,1.3104716892209314,1.4087150476084538,1.5034311651445824
3.0,1.3062798234331916,1.4042161686727046,1.5042375796386274
3.1,1.3584618491517786,1.4611016814844517,1.5050408549208136
3.2,1.4130773663116976,1.5206982096351802,1.5058361842213068
3.3,1.4106516228234898,1.5181204088510898,1.5066623936202401
3.4,1.433767634408683,1.5434118205213725,1.507518825927565
3.5,1.3831441178700834,1.4882010950492661,1.5083950917972835
3.5999999999999996,1.4051558579888754,1.5122803085598715,1.50928103078986
3.7,1.4029324643028158,1.5099234175198606,1.51016463804403
3.8000000000000003,1.362380272186326,1.4657275431914143,1.5110351713535266
3.9000000000000004,1.340308693779745,1.4417156900664307,1.511919168997345
4.0,1.399063809331022,1.5058431435664126,1.5128180181914834
4.1,1.41583514122194,1.5242137069792456,1.5136937754675595
4.2,1.4446688347665535,1.5557484475518866,1.5145689528952815
4.3,1.481726829933782,1.5962641379005276,1.515446486884797
4.4,1.4807151695630525,1.5952292608564462,1.5162951454609273
4.5,1.4860769043670996,1.6011540908460011,1.517133060961153
4.6,1.505161835458988,1.6220611240541538,1.5179728099915366
4.7,1.5421670041076347,1.662529455683941,1.518840511968034
4.8,1.5632480771821504,1.6856190164068874,1.5197104007035507
4.9,1.5835407602432383,1.7078476588695393,1.5206080063054266
5.0,1.5933218186873432,1.718598952661683,1.5215119690493273
5.1000000000000005,1.547039031026213,1.6681115940157893,1.5224083405204785
5.2,1.569054789084945,1.6922157660210708,1.5232965884858196
5.3,1.5749496166010766,1.6987217899308975,1.524195462473132
5.3999999999999995,1.596264982557487,1.7220597237193611,1.5251095193495583
5.5,1.5627835024931527,1.6855661338281267,1.5260387400241828
5.6000000000000005,1.5760992793116286,1.7001696427770814,1.5269795133027335
5.7,1.5312004388372518,1.6512109584192158,1.5279107787397794
5.8,1.496472274445569,1.6133658343052981,1.5288553571794463
5.8999999999999995,1.4566876396001938,1.5700035190824764,1.5298083122496966
6.0,1.5100254813117444,1.628252472468153,1.5307604326140194
6.1000000000000005,1.594264637363543,1.7202009241136986,1.531698789278522
6.2,1.6491116585961474,1.7801056237166786,1.5326523985080218
6.3,1.6247282579991587,1.753551964676538,1.5336123284455083
6.4,1.6531244163575889,1.7845900063928768,1.5345597199488978
6.5,1.6065219057324156,1.7338001601485022,1.5355183642412036
6.6,1.5699185051325026,1.693931817524927,1.536473858383396
6.7,1.5190287126932296,1.6384684076524747,1.5374462901778725
6.8,1.500367096553239,1.6181675713879247,1.5384305471711792
6.9,1.6148109888856497,1.7430029059182286,1.5394225340809677
7.0,1.628746452372833,1.7582595806074446,1.540438228010628
7.1,1.6271925463030483,1.756622585774221,1.5414661242757846
7.199999999999999,1.6976276453594463,1.8332555926440608,1.5424952080608905
7.300000000000001,1.6093355703421983,1.73725568828045,1.5435174119522848
7.4,1.656376537078799,1.7885381500917885,1.5445166289362442
7.5,1.6419421789244604,1.7728179810029052,1.5455021260700432
7.6000000000000005,1.6479622699742966,1.779476452924529,1.5464940085563519
7.699999999999999,1.6286834036750473,1.7584164288102726,1.5475108620238365
7.800000000000001,1.6152849953036095,1.743853064723086,1.54849829288198
7.8999999999999995,1.5867744556639218,1.7129136339531421,1.5494882420392095
8.0,1.578041598806281,1.703509211105629,1.5504669686760322
8.100000000000001,1.604561781170171,1.7322075026359056,1.5514390536381304
8.2,1.551107970868741,1.674485735563279,1.5524487507516984
8.3,1.5343309915474228,1.6563791356288962,1.553515689321721
8.4,1.5129440063043549,1.633239006389981,1.5545808197239552
8.5,1.549430580345222,1.672893831311281,1.5556366697848971
8.6,1.5435211040383954,1.6665163594502668,1.5567081865325065
8.7,1.5213822917077402,1.6424864130898589,1.5577930238784499
8.8,1.5238808633444576,1.6452487829290174,1.5589091342115948
8.9,1.5256183459862547,1.6471822104099876,1.5600303011339447
9.0,1.50106798203985,1.6205285511689367,1.5611476113335951
9.1,1.5738724434458893,1.699844066151076,1.5622877785699734
9.2,1.5792699038265308,1.7057779881670656,1.5634138109331448
9.3,1.599810025313778,1.7282558564541748,1.5645321718644083
9.4,1.5974586373101967,1.7257384972833394,1.565658833650832
9.5,1.5897906751588187,1.717435020975572,1.566776405864994
9.6,1.619285097828573,1.74956297701046,1.5679077277541418
9.7,1.661620145427217,1.795583790716715,1.569026872507432
9.8,1.67189115719263,1.8067737400731851,1.5701225132497878
9.9,1.683691205114442,1.8196163370129053,1.571258005316257
10.0,1.6382636871905754,1.7703327837740324,1.5723998046051386
10.1,1.6759838863972303,1.8112848363254133,1.5735434987248416
10.200000000000001,1.6915242577163898,1.8281672896469234,1.574721010255498
10.299999999999999,1.6501384992498038,1.7833189601360484,1.5758873508011653
10.4,1.654859496804293,1.7884596438977358,1.577077163025924
10.5,1.6352760492772052,1.7672384871770603,1.578306124474136
10.6,1.6785443945502951,1.8143044476335648,1.5795471746568397
10.700000000000001,1.689315624041982,1.8260651130813044,1.5807951483418257
10.799999999999999,1.7145329887895455,1.8535670603081282,1.5820322070868178
10.9,1.720066758401579,1.8595930064417394,1.5832784967940308
11.0,1.7085839608262992,1.8472176035976904,1.5845137480694105
11.1,1.6574783780288185,1.7923256645159316,1.585739652110676
11.200000000000001,1.6877778778836905,1.8247731665353166,1.5869772960905737
11.299999999999999,1.694426292306078,1.831891728257106,1.5882253215237467
11.4,1.6823769490319962,1.8190265032546957,1.589497201511325
11.5,1.6812854860345228,1.817868527624526,1.5907658535477387
11.6,1.686434658739949,1.8234165986704056,1.5920399129456184
11.700000000000001,1.7060386067028073,1.8446320499779751,1.5933109501398757
11.799999999999999,1.7226601485831745,1.8627226280756934,1.594570674421246
11.9,1.7365204659805926,1.8778677452896502,1.5958244313642995
12.0,1.7187049630644118,1.8583811979345664,1.597081320168517
12.1,1.727442284362403,1.8679422074837293,1.5983157194819246
12.200000000000001,1.7280155675365028,1.8685705043613505,1.599547449883724
12.299999999999999,1.7188027710254263,1.8584896322896634,1.6007982874026987
12.4,1.7292485580410646,1.8699286070435641,1.6020441954879778
12.5,1.7474822281845235,1.8898940150630388,1.6032980488199977
12.6,1.7425377952406642,1.8844671208671702,1.604579040225348
12.7,1.741816787406073,1.883669979992535,1.6058691619561027
12.8,1.7466562807178176,1.8889766222361568,1.607142021419936
12.9,1.7529427098622776,1.8958786607827234,1.6084006557489456
13.0,1.7544451215014893,1.8975266383196066,1.6096757782775788
13.1,1.7566535412847188,1.8999649000153143,1.610963189278277
13.2,1.7495437550531319,1.8920354748993335,1.612252721281096
13.3,1.7560918164918564,1.8993030618945101,1.6135572537585485
13.4,1.7564719518251157,1.8997080004445626,1.6148669657589445
13.5,1.753052138407868,1.8959650359651241,1.6161768210220169
13.6,1.7587234098044262,1.9021029505372962,1.6175138150002226
13.7,1.7525684792042946,1.8954291716055611,1.6188696957257855
13.8,1.7493924651742727,1.891980206784545,1.6202302700231794
13.9,1.7512834794441574,1.8940226531701148,1.6215914781272456
14.0,1.7490867997299882,1.8915243863463755,1.6229690212541654
14.1,1.7500427268102268,1.892396193859807,1.6243119682351024
