tmin,e_ins,e_ekf_m4,e_fgo_m4,e_ekf_m5,e_fgo_m5
26.46,159.92,40288.87,61.42,18.37,27.6
26.67,160.61,40371.02,65.89,16.69,29.08
26.88,161.0,40402.03,70.63,13.67,30.82
27.09,161.49,40539.24,75.7,13.75,32.75
27.3,161.76,40848.53,80.87,24.44,34.71
27.51,161.65,41170.37,86.39,26.15,37.0
27.72,162.21,41403.5,92.04,35.37,39.18
27.93,162.54,41284.12,97.55,40.1,41.14
28.14,162.44,41201.47,57.52,42.92,32.1
28.35,163.04,41360.54,58.67,48.31,32.68
28.56,162.98,41353.12,60.35,51.4,33.86
28.77,163.42,41297.43,62.09,39.71,35.12
28.98,163.72,41721.9,63.33,37.1,35.94
29.19,163.67,41983.66,65.12,33.7,37.34
29.4,163.53,41786.4,66.22,47.27,38.1
29.61,163.83,41367.67,67.83,51.2,39.41
29.82,163.42,40979.45,69.42,40.96,40.71
30.03,163.34,40929.28,70.07,33.55,41.13
30.24,163.26,40874.51,71.6,37.45,42.47
30.45,163.28,40875.54,72.78,36.81,43.53
30.66,163.42,40908.92,74.02,37.4,44.72
30.87,163.52,40929.49,75.29,35.4,46.02
31.08,163.43,40971.51,76.8,38.47,47.58
31.29,163.56,40983.43,77.08,39.39,48.04
31.5,163.74,40992.62,64.95,30.68,46.63
31.71,163.65,41038.48,65.41,36.19,47.62
31.92,163.9,41094.93,66.28,42.41,49.05
32.13,164.57,41124.88,66.09,40.92,49.44
32.34,164.59,41156.43,67.03,41.0,50.86
32.55,164.75,41194.08,68.12,42.99,52.4
32.76,164.66,41223.05,69.65,46.1,54.31
32.97,165.09,41264.28,70.52,50.04,55.54
33.18,166.01,41272.56,72.34,53.57,57.64
33.39,165.82,41301.41,73.84,62.47,59.3
33.6,165.96,41534.04,75.18,70.25,60.74
33.81,165.47,41597.17,76.83,69.16,62.42
34.02,165.94,41436.26,79.04,61.01,64.56
34.23,166.31,41319.07,81.36,64.16,66.74
34.44,165.89,41247.29,83.39,67.04,68.58
34.65,165.75,41396.68,85.33,78.89,70.24
34.86,165.1,41374.72,87.04,65.21,71.64
35.07,164.93,41383.47,44.71,87.48,22.54
35.28,164.54,41480.89,45.34,86.76,22.58
35.49,164.14,41608.37,44.8,65.56,21.43
35.7,164.1,41673.69,44.68,67.98,20.69
