flight,line,num_part,thresh,EKF,MPF,t_s
Flt1003,1003.08,1000,0.1,41.2,109.2,233.9
Flt1003,1003.08,1000,0.3,41.2,75.1,230.4
Flt1003,1003.08,1000,0.5,41.2,65.5,230.8
Flt1003,1003.08,1000,0.7,41.2,250.1,231.0
Flt1007,1007.06,1000,0.1,33.3,203.7,282.2
Flt1007,1007.06,1000,0.3,33.3,435.4,281.1
Flt1007,1007.06,1000,0.5,33.3,85.4,282.2
Flt1007,1007.06,1000,0.7,33.3,99.7,281.3
