flight,line,num_part,thresh,EKF,MPF,t_s
Flt1003,1003.08,1000,0.5,41.2,183.4,206.5
Flt1003,1003.08,4000,0.5,41.2,36.3,1001.4
Flt1007,1007.06,1000,0.5,33.3,76.7,255.7
Flt1007,1007.06,4000,0.5,33.3,35.1,1207.8
