nlat,nlon,latlo,lathi,lonlo,lonhi
60.0,60.0,44.597641308,44.93174149199999,-76.21558368000001,-75.79728361999999
255.69,-85.05,18.11,35.94,41.01,17.73,-19.54,61.2,90.38,-215.53,-283.09,-247.69,-233.38,-359.51,-465.57,-498.58,-507.54,-506.33,-500.87,-492.42,-486.68,-484.71,-479.3,-468.37,-461.85,-452.9,-410.73,-383.31,-367.93,-261.95,-287.21,-378.22,35.88,290.89,28.16,141.25,196.39,269.84,299.33,305.06,82.1,17.02,179.64,102.38,7.38,-261.52,-325.31,-4.63,292.26,247.9,152.72,-18.72,-295.44,-524.33,-583.67,-464.49,-311.24,-289.29,-298.74,-298.63
128.27,-127.27,1.54,85.54,175.88,184.91,130.74,103.6,-49.47,-251.29,-276.33,-264.07,-286.52,-397.68,-459.91,-475.18,-474.15,-469.22,-459.64,-449.69,-444.39,-442.05,-440.12,-428.7,-425.46,-425.39,-403.11,-334.81,-350.69,-304.92,-179.85,-114.97,125.83,378.93,263.09,420.94,427.65,335.66,151.02,165.62,175.37,17.33,-17.0,122.66,115.81,1.64,-287.12,-342.67,-2.6,300.54,290.86,62.24,-246.68,-503.56,-582.64,-533.13,-405.34,-345.01,-315.88,-329.89
39.54,-146.73,-44.41,-16.16,-14.43,-27.77,-5.7,-40.62,-150.76,-191.38,-236.22,-202.04,-278.35,-401.42,-441.05,-447.1,-442.29,-435.62,-425.59,-411.33,-405.28,-404.21,-398.93,-388.17,-391.83,-391.11,-383.08,-357.94,-327.8,-377.85,-355.06,-192.01,240.2,475.15,485.51,658.57,567.79,463.86,378.91,224.72,181.47,150.76,-24.21,-75.69,62.51,112.7,-16.8,-277.02,-386.87,-172.44,129.65,46.56,-168.75,-464.85,-566.57,-572.92,-463.75,-393.82,-376.77,-392.0
-181.98,-254.6,-70.01,-32.33,-170.83,-218.11,-209.46,-201.15,-218.35,-145.84,-319.65,-219.09,-266.27,-382.11,-414.61,-417.92,-410.94,-402.03,-389.17,-379.46,-366.18,-356.6,-355.63,-362.35,-356.26,-361.0,-363.2,-348.45,-331.23,-361.94,-417.92,-416.75,-207.44,278.85,432.25,602.29,481.45,396.97,428.47,387.53,362.4,278.85,141.01,-62.87,-135.85,-152.44,0.93,8.26,-165.12,-308.78,-186.35,-32.19,-33.27,-384.73,-531.69,-575.32,-529.47,-462.43,-479.11,-484.2
-357.83,-374.29,-184.19,-160.43,-247.63,-284.74,-305.89,-300.42,-298.48,-259.93,-382.4,-280.09,-322.37,-367.1,-385.68,-384.56,-371.24,-366.46,-359.44,-353.07,-338.39,-326.55,-327.11,-319.87,-317.43,-312.67,-310.52,-314.51,-336.8,-351.05,-410.17,-438.64,-380.26,-118.56,150.29,340.81,402.35,372.17,333.84,330.76,365.06,314.53,253.63,175.31,32.72,-125.37,-177.39,-58.31,21.56,-8.48,-138.23,-155.32,-27.24,-177.84,-444.21,-534.56,-561.79,-565.92,-547.43,-511.58
-253.1,-372.31,-252.98,-100.68,-231.06,-291.82,-310.66,-327.63,-324.45,-295.36,-370.16,-291.43,-326.14,-353.81,-359.65,-343.4,-316.19,-322.64,-329.45,-328.77,-318.34,-302.4,-294.46,-294.07,-328.33,-297.22,-237.68,-244.99,-297.33,-322.53,-370.8,-407.46,-410.94,-339.71,-166.13,32.64,158.04,209.8,222.24,215.62,205.97,153.1,143.52,157.81,128.42,61.48,-57.69,-67.77,-26.02,-4.66,7.3,-27.81,-67.94,-18.11,-291.42,-456.5,-538.22,-578.67,-578.1,-530.42
702.88,-207.82,-367.42,-195.29,-259.91,-265.85,-317.23,-292.3,-316.23,-281.73,-298.53,-254.33,-306.03,-337.5,-323.94,-263.7,-265.9,-271.61,-301.3,-306.49,-296.74,-282.41,-283.48,-306.85,-338.29,-324.4,-219.62,-204.24,-286.61,-317.6,-329.84,-346.75,-372.51,-359.27,-295.06,-192.29,-92.03,-28.21,5.62,23.79,11.51,-14.21,-35.24,-30.83,20.51,52.59,52.81,89.58,119.48,-43.93,-16.99,23.96,29.97,-15.5,-79.44,-355.31,-484.68,-546.65,-563.33,-577.43
502.99,-207.49,-459.57,-423.01,-336.04,-290.21,-314.08,-279.57,-270.6,-247.39,-179.91,-149.8,-263.88,-316.63,-295.12,-251.67,-296.86,-273.22,-285.11,-284.35,-266.89,-246.49,-262.88,-297.05,-320.43,-331.95,-294.51,-196.55,-233.5,-266.13,-263.53,-265.89,-287.04,-312.29,-313.12,-281.82,-229.88,-177.17,-132.75,-105.67,-84.97,-77.8,-111.89,-154.88,-169.08,-96.44,14.28,37.73,-6.15,-59.8,-113.13,-42.62,10.52,16.43,1.92,-182.76,-404.19,-472.15,-530.82,-595.02
459.13,-174.25,-383.5,-403.36,-364.12,-299.38,-293.47,-267.59,-207.28,-210.86,-111.28,86.19,-180.8,-289.29,-273.29,-244.79,-266.56,-199.04,-258.6,-263.65,-248.47,-219.84,-244.55,-260.81,-280.18,-285.98,-302.3,-295.64,-249.78,-215.04,-181.05,-147.29,-170.63,-229.09,-265.68,-268.68,-245.44,-165.37,-136.08,-161.42,-154.95,-58.15,-96.02,-164.58,-220.76,-230.63,-168.54,-72.77,-72.02,-121.89,-148.54,-143.11,-53.72,-3.95,-1.31,-50.01,-275.25,-360.51,-463.16,-557.94
653.17,73.31,-329.0,-369.96,-354.07,-331.67,-273.94,-220.27,-208.28,-199.18,-173.04,-89.34,-187.38,-263.52,-245.24,-235.77,-276.19,-257.35,-257.55,-247.1,-243.07,-207.38,-221.56,-232.91,-251.79,-257.0,-244.73,-229.13,-226.5,-199.97,-117.35,-110.91,-202.05,-238.89,-167.97,-211.43,-232.15,-232.82,-232.33,-213.93,-144.07,-110.75,-116.55,-162.57,-194.38,-236.63,-239.63,-168.31,-86.04,-65.78,-138.94,-161.92,-143.98,-67.51,-39.45,-44.97,-120.69,-243.62,-357.19,-502.05
45.34,213.1,-286.6,-385.74,-388.26,-351.73,-295.05,-245.04,-229.66,-226.81,-187.53,-194.12,-173.36,-216.57,-223.52,-210.95,-238.47,-251.61,-233.17,-209.12,-219.17,-208.33,-206.24,-212.67,-220.44,-223.77,-199.54,-177.15,-183.27,-160.68,-64.02,-26.58,-104.05,-197.06,-189.22,-128.31,-223.69,-239.26,-270.84,-276.74,-166.75,-49.29,-101.0,-126.59,-161.13,-195.45,-227.78,-223.92,-154.74,-78.11,-82.66,-143.59,-166.84,-119.7,-79.46,-76.24,-107.78,-151.5,-259.53,-418.3
-442.24,-291.14,-264.61,-337.8,-328.39,-331.11,-308.27,-269.18,-229.96,-228.98,-218.99,-220.99,-158.49,-157.12,-191.1,-185.34,-215.03,-211.85,-208.36,-200.16,-195.33,-194.29,-189.66,-186.8,-186.66,-179.23,-152.47,-127.42,-114.32,-101.84,-67.58,51.32,70.49,-66.84,-208.29,-230.5,-298.77,-272.45,-234.54,-260.86,-273.03,-203.5,-106.26,-61.39,-88.34,-160.05,-193.18,-227.85,-247.89,-151.75,-106.61,-112.05,-125.09,-145.26,-75.87,-78.76,-158.87,-194.89,-216.14,-329.48
-325.47,-351.24,-332.99,-275.12,-250.08,-302.62,-300.74,-278.47,-260.91,-251.28,-258.98,-258.6,-209.57,-89.0,-122.77,-168.13,-191.67,-190.77,-175.84,-166.71,-165.44,-162.62,-157.84,-157.58,-153.29,-132.53,-92.63,-71.17,-48.09,-29.13,-29.21,25.7,141.25,149.33,-87.35,-226.74,-330.77,-465.63,-338.68,-252.75,-259.43,-256.33,-181.54,-44.2,4.14,-79.61,-160.45,-229.63,-263.22,-277.71,-224.79,-189.05,-168.25,-148.63,-170.57,-104.93,-148.97,-227.15,-272.93,-289.9
